DATE,STOCK PRICE,CALL PRICE,VOLATILITY,PNL,PNL (HEDGE)
2011-07-05,532.44,44.2,0.257871,0,0
2011-07-06,535.36,46.9,0.267441,2.66667,-16.3096
2011-07-07,546.6,55.3,0.268398,11.0316,-31.838
2011-07-08,531.99,43.95,0.266484,-0.348295,-45.454
2011-07-11,527.28,41,0.279404,-3.32818,-61.3799
2011-07-12,534.01,46.4,0.29041,2.04016,-78.1977
2011-07-13,538.26,49.3,0.290889,4.91199,-93.1037
2011-07-14,528.94,41.15,0.275576,-3.26443,-106.275
2011-07-15,597.62,99.65,0.287061,55.2091,-134.7
2011-07-18,594.94,97.65,0.313379,53.1827,-141.984
2011-07-19,602.55,103.8,0.279883,59.3027,-148.649
2011-07-20,595.35,97.8,0.313857,53.2691,-155.175
2011-07-21,606.99,108.15,0.291367,63.5838,-162.207
2011-07-22,618.23,118.7,0.268877,74.0984,-167.421
2011-07-25,618.98,119.95,0.321035,75.313,-171.337
2011-07-26,622.52,123.25,0.315771,78.5758,-175.737
2011-07-27,607.22,108.65,0.33252,63.9386,-179.927
2011-07-28,610.94,112.1,0.331563,67.3513,-185.629
2011-07-29,603.69,106.8,0.402383,62.0158,-192.473
